"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
47.68,30.48,61,1,NA,11.7,"Gamma","ui","crítica","success"
15.55,27.8,98,1,93.8,4.01,"Alpha","db","media","failed"
36.51,23.32,84,3,73.1,4.36,"Alpha","ui","media","success"
31.21,20.74,96,0,43.5,17.06,"Gamma","auth","alta","success"
20.77,7.31,74,2,91.3,10.68,"Alpha","api","media","success"
5.69,12.44,87,2,60.8,23.87,"Alpha","api","media","rolled_back"
19.79,10.02,88,3,64.2,3.98,"Alpha","auth","media","failed"
16.21,16.75,82,7,NA,4.24,"Beta","infra","alta","success"
35.86,7.54,79,4,74.6,19.24,"Gamma","auth","baja","success"
23.77,9.15,74,1,NA,7.04,"Delta","api","baja","failed"
24.88,27.92,78,3,63.6,19.97,"Gamma","test","media","rolled_back"
19.86,19.39,79,0,70.4,1.73,"Beta","test","alta","success"
28.36,7.2,91,6,84,1.05,"Alpha","ui","baja","failed"
28.27,25.9,89,1,64.7,3.18,"Delta","infra","baja","failed"
5.57,14.47,78,0,87.5,4.32,"Alpha","api","media","success"
85.02,46.81,101,2,83.7,9.37,"Alpha","test","media","failed"
50.98,29.22,75,1,56.9,6.38,"Beta","test","media","success"
38.56,10.88,82,4,45.5,15.39,"Alpha","api","baja","success"
18.85,31.37,91,4,73.9,2.43,"Alpha","api","baja","failed"
53.67,9,77,3,57.4,6.56,"Delta","infra","baja","success"
26.31,16.22,82,8,84.5,5.98,"Gamma","db","crítica","rolled_back"
29.51,11.18,95,4,80.1,7.03,"Gamma","auth","alta","failed"
12.5,13.7,97,5,74.3,18.16,"Alpha","test","alta","failed"
92.4,19.16,100,0,88.1,10.42,"Gamma","api","media","failed"
34.25,25.47,94,1,54.9,7.65,"Alpha","ui","alta","rolled_back"
125.92,4.69,88,5,91.5,6.76,"Beta","auth","alta","success"
111.24,27.98,84,3,100,29.01,"Gamma","auth","crítica","rolled_back"
34.49,33.81,92,3,56.9,6.08,"Beta","auth","baja","success"
52.03,30.33,88,6,44.8,7.49,"Gamma","test","media","rolled_back"
110.82,39.97,84,1,105.3,4.86,"Alpha","db","media","success"
22.87,14.48,101,4,60.8,25.03,"Alpha","db","media","success"
37.21,22.09,83,1,100,3.5,"Delta","ui","media","success"
27.71,23.23,86,6,61.2,3.99,"Gamma","auth","alta","failed"
41.8,9.19,88,1,94.6,22.66,"Delta","test","media","success"
37.63,5,72,4,55.2,12.01,"Alpha","ui","alta","success"
74.83,18.53,76,7,75.9,2.26,"Gamma","auth","crítica","success"
50.17,3.22,97,3,76.2,18.72,"Gamma","db","alta","failed"
17.74,10.27,72,6,80,7.83,"Gamma","api","alta","rolled_back"
49.6,8.69,79,1,69.4,7.91,"Alpha","auth","media","success"
18.59,17.23,82,2,56.4,3.34,"Gamma","ui","crítica","success"
14.73,38.72,97,6,85.9,2.27,"Alpha","api","media","failed"
57.09,38.74,81,4,63.4,8.21,"Delta","db","alta","success"
