"Variable","Intervalo","Frec_Absoluta","Frec_Relativa","Frec_Acumulada"
"build_time_min","[2.53,39.5)",3073,61.46,3073
"build_time_min","[39.5,76.5)",1355,27.1,4428
"build_time_min","[76.5,113)",374,7.48,4802
"build_time_min","[113,150)",124,2.48,4926
"build_time_min","[150,187)",44,0.88,4970
"build_time_min","[187,224)",16,0.32,4986
"build_time_min","[224,261)",7,0.14,4993
"build_time_min","[261,298)",1,0.02,4994
"build_time_min","[298,335)",1,0.02,4995
"build_time_min","[335,372)",1,0.02,4996
"build_time_min","[372,409)",1,0.02,4997
"build_time_min","[409,446)",0,0,4997
"build_time_min","[446,483)",2,0.04,4999
"build_time_min","[483,520)",0,0,4999
"build_time_min","[520,557)",1,0.02,5000
"deploy_time_min","[2.25,24.2)",3692,73.84,3692
"deploy_time_min","[24.2,46.2)",1055,21.1,4747
"deploy_time_min","[46.2,68.2)",185,3.7,4932
"deploy_time_min","[68.2,90.2)",45,0.9,4977
"deploy_time_min","[90.2,112)",12,0.24,4989
"deploy_time_min","[112,134)",3,0.06,4992
"deploy_time_min","[134,156)",3,0.06,4995
"deploy_time_min","[156,178)",2,0.04,4997
"deploy_time_min","[178,200)",0,0,4997
"deploy_time_min","[200,222)",0,0,4997
"deploy_time_min","[222,244)",0,0,4997
"deploy_time_min","[244,266)",1,0.02,4998
"deploy_time_min","[266,288)",1,0.02,4999
"deploy_time_min","[288,310)",0,0,4999
"deploy_time_min","[310,332)",1,0.02,5000
"commit_size_loc","[54,59.1)",6,0.12,6
"commit_size_loc","[59.1,64.1)",56,1.12,62
"commit_size_loc","[64.1,69.2)",120,2.4,182
"commit_size_loc","[69.2,74.3)",411,8.22,593
"commit_size_loc","[74.3,79.4)",749,14.98,1342
"commit_size_loc","[79.4,84.4)",1034,20.68,2376
"commit_size_loc","[84.4,89.5)",1075,21.5,3451
"commit_size_loc","[89.5,94.6)",770,15.4,4221
"commit_size_loc","[94.6,99.6)",470,9.4,4691
"commit_size_loc","[99.6,105)",206,4.12,4897
"commit_size_loc","[105,110)",76,1.52,4973
"commit_size_loc","[110,115)",17,0.34,4990
"commit_size_loc","[115,120)",9,0.18,4999
"commit_size_loc","[120,125)",0,0,4999
"commit_size_loc","[125,130)",1,0.02,5000
"num_bugs","[0,0.786)",251,5.02,251
"num_bugs","[0.786,1.57)",704,14.08,955
"num_bugs","[1.57,2.36)",1103,22.06,2058
"num_bugs","[2.36,3.14)",1206,24.12,3264
"num_bugs","[3.14,3.93)",0,0,3264
"num_bugs","[3.93,4.71)",829,16.58,4093
"num_bugs","[4.71,5.5)",497,9.94,4590
"num_bugs","[5.5,6.29)",257,5.14,4847
"num_bugs","[6.29,7.07)",94,1.88,4941
"num_bugs","[7.07,7.86)",0,0,4941
"num_bugs","[7.86,8.64)",34,0.68,4975
"num_bugs","[8.64,9.43)",18,0.36,4993
"num_bugs","[9.43,10.2)",5,0.1,4998
"num_bugs","[10.2,11)",0,0,4998
"num_bugs","[11,11.8)",1,0.02,4999
"test_coverage_pct","[14.3,20.4)",3,0.06,3
"test_coverage_pct","[20.4,26.5)",4,0.08,7
"test_coverage_pct","[26.5,32.7)",15,0.3,22
"test_coverage_pct","[32.7,38.8)",34,0.68,56
"test_coverage_pct","[38.8,44.9)",122,2.44,178
"test_coverage_pct","[44.9,51)",227,4.54,405
"test_coverage_pct","[51,57.2)",389,7.78,794
"test_coverage_pct","[57.2,63.3)",544,10.88,1338
"test_coverage_pct","[63.3,69.4)",751,15.03,2089
"test_coverage_pct","[69.4,75.5)",898,17.97,2987
"test_coverage_pct","[75.5,81.6)",720,14.41,3707
"test_coverage_pct","[81.6,87.8)",558,11.16,4265
"test_coverage_pct","[87.8,93.9)",387,7.74,4652
"test_coverage_pct","[93.9,100)",207,4.14,4859
"test_coverage_pct","[100,106)",139,2.78,4998
"ticket_resolution_h","[0.5,16.2)",4150,83.03,4150
"ticket_resolution_h","[16.2,31.9)",671,13.43,4821
"ticket_resolution_h","[31.9,47.6)",114,2.28,4935
"ticket_resolution_h","[47.6,63.3)",36,0.72,4971
"ticket_resolution_h","[63.3,79)",15,0.3,4986
"ticket_resolution_h","[79,94.7)",2,0.04,4988
"ticket_resolution_h","[94.7,110)",1,0.02,4989
"ticket_resolution_h","[110,126)",4,0.08,4993
"ticket_resolution_h","[126,142)",0,0,4993
"ticket_resolution_h","[142,158)",1,0.02,4994
"ticket_resolution_h","[158,173)",0,0,4994
"ticket_resolution_h","[173,189)",2,0.04,4996
"ticket_resolution_h","[189,205)",1,0.02,4997
"ticket_resolution_h","[205,220)",0,0,4997
"ticket_resolution_h","[220,236)",1,0.02,4998
