"Variable","Categoria","Frec_Absoluta","Frec_Relativa"
"team","Alpha",1493,29.86
"team","Beta",1328,26.56
"team","Delta",866,17.32
"team","Gamma",1273,25.46
"team","missing",40,0.8
"module","api",1249,24.98
"module","auth",949,18.98
"module","db",772,15.44
"module","infra",591,11.82
"module","missing",50,1
"module","test",509,10.18
"module","ui",880,17.6
"priority","alta",1403,28.06
"priority","baja",1222,24.44
"priority","crítica",597,11.94
"priority","media",1743,34.86
"priority","missing",35,0.7
"deploy_status","failed",1010,20.2
"deploy_status","missing",25,0.5
"deploy_status","rolled_back",773,15.46
"deploy_status","success",3192,63.84
